lähto,tulo,Yhteensä,Miehet,Naiset
Luumäki,Tohmajärvi,0,0,0
Maalahti,Tohmajärvi,0,0,0
Maarianhamina - Mariehamn,Tohmajärvi,0,0,0
Marttila,Tohmajärvi,0,0,0
Masku,Tohmajärvi,0,0,0
Merijärvi,Tohmajärvi,0,0,0
Merikarvia,Tohmajärvi,0,0,0
Miehikkälä,Tohmajärvi,0,0,0
Mikkeli,Tohmajärvi,5,1,4
Muhos,Tohmajärvi,0,0,0
Multia,Tohmajärvi,0,0,0
Muonio,Tohmajärvi,0,0,0
Mustasaari,Tohmajärvi,0,0,0
Muurame,Tohmajärvi,0,0,0
Mynämäki,Tohmajärvi,0,0,0
Myrskylä,Tohmajärvi,0,0,0
Mäntsälä,Tohmajärvi,1,0,1
Mänttä-Vilppula,Tohmajärvi,0,0,0
Mäntyharju,Tohmajärvi,0,0,0
Naantali,Tohmajärvi,0,0,0
Nakkila,Tohmajärvi,0,0,0
Nivala,Tohmajärvi,0,0,0
Nokia,Tohmajärvi,0,0,0
Nousiainen,Tohmajärvi,0,0,0
Nurmes,Tohmajärvi,3,0,3
Nurmijärvi,Tohmajärvi,0,0,0
Närpiö,Tohmajärvi,0,0,0
Orimattila,Tohmajärvi,0,0,0
Oripää,Tohmajärvi,0,0,0
Orivesi,Tohmajärvi,0,0,0
Oulainen,Tohmajärvi,0,0,0
Oulu,Tohmajärvi,0,0,0
Outokumpu,Tohmajärvi,4,1,3
Padasjoki,Tohmajärvi,0,0,0
Paimio,Tohmajärvi,0,0,0
Paltamo,Tohmajärvi,0,0,0
Parainen,Tohmajärvi,0,0,0
Parikkala,Tohmajärvi,0,0,0
Parkano,Tohmajärvi,0,0,0
Pedersören kunta,Tohmajärvi,0,0,0
Pelkosenniemi,Tohmajärvi,0,0,0
Pello,Tohmajärvi,0,0,0
Perho,Tohmajärvi,0,0,0
Pertunmaa,Tohmajärvi,0,0,0
Petäjävesi,Tohmajärvi,0,0,0
Pieksämäki,Tohmajärvi,0,0,0
Pielavesi,Tohmajärvi,0,0,0
Pietarsaari,Tohmajärvi,0,0,0
Pihtipudas,Tohmajärvi,0,0,0
Pirkkala,Tohmajärvi,0,0,0
Polvijärvi,Tohmajärvi,1,1,0
Pomarkku,Tohmajärvi,0,0,0
Pori,Tohmajärvi,1,1,0
Pornainen,Tohmajärvi,0,0,0
Porvoo,Tohmajärvi,1,0,1
Posio,Tohmajärvi,0,0,0
Pudasjärvi,Tohmajärvi,0,0,0
Pukkila,Tohmajärvi,0,0,0
Punkalaidun,Tohmajärvi,0,0,0
Puolanka,Tohmajärvi,0,0,0
Puumala,Tohmajärvi,0,0,0
Pyhtää,Tohmajärvi,0,0,0
Pyhäjoki,Tohmajärvi,0,0,0
Pyhäjärvi,Tohmajärvi,0,0,0
Pyhäntä,Tohmajärvi,0,0,0
Pyhäranta,Tohmajärvi,0,0,0
Pälkäne,Tohmajärvi,0,0,0
Pöytyä,Tohmajärvi,0,0,0
Raahe,Tohmajärvi,0,0,0
Raasepori,Tohmajärvi,0,0,0
Raisio,Tohmajärvi,0,0,0
Rantasalmi,Tohmajärvi,3,1,2
Ranua,Tohmajärvi,0,0,0
Rauma,Tohmajärvi,0,0,0
Rautalampi,Tohmajärvi,0,0,0
Rautavaara,Tohmajärvi,0,0,0
Rautjärvi,Tohmajärvi,2,1,1
Reisjärvi,Tohmajärvi,0,0,0
Riihimäki,Tohmajärvi,0,0,0
Ristijärvi,Tohmajärvi,0,0,0
Rovaniemi,Tohmajärvi,0,0,0
Ruokolahti,Tohmajärvi,0,0,0
Ruovesi,Tohmajärvi,0,0,0
Rusko,Tohmajärvi,0,0,0
Rääkkylä,Tohmajärvi,2,0,2
Saarijärvi,Tohmajärvi,0,0,0
Salla,Tohmajärvi,0,0,0
Salo,Tohmajärvi,0,0,0
Saltvik,Tohmajärvi,0,0,0
Sastamala,Tohmajärvi,0,0,0
Sauvo,Tohmajärvi,0,0,0
Savitaipale,Tohmajärvi,0,0,0
Savonlinna,Tohmajärvi,13,5,8
Savukoski,Tohmajärvi,0,0,0
Seinäjoki,Tohmajärvi,0,0,0
Sievi,Tohmajärvi,0,0,0
Siikainen,Tohmajärvi,0,0,0
Siikajoki,Tohmajärvi,0,0,0
Siikalatva,Tohmajärvi,0,0,0
Siilinjärvi,Tohmajärvi,1,0,1
Simo,Tohmajärvi,0,0,0
Sipoo,Tohmajärvi,2,1,1
Siuntio,Tohmajärvi,0,0,0
Sodankylä,Tohmajärvi,0,0,0
Soini,Tohmajärvi,0,0,0
Somero,Tohmajärvi,1,0,1
Sonkajärvi,Tohmajärvi,0,0,0
Sotkamo,Tohmajärvi,0,0,0
Sottunga,Tohmajärvi,0,0,0
Sulkava,Tohmajärvi,0,0,0
Sund,Tohmajärvi,0,0,0
Suomussalmi,Tohmajärvi,0,0,0
Suonenjoki,Tohmajärvi,0,0,0
Sysmä,Tohmajärvi,0,0,0
Säkylä,Tohmajärvi,1,1,0
Taipalsaari,Tohmajärvi,0,0,0
Taivalkoski,Tohmajärvi,0,0,0
Taivassalo,Tohmajärvi,0,0,0
Tammela,Tohmajärvi,0,0,0
Tampere,Tohmajärvi,2,1,1
Tervo,Tohmajärvi,0,0,0
Tervola,Tohmajärvi,0,0,0
Teuva,Tohmajärvi,0,0,0
Tohmajärvi,Tohmajärvi,0,0,0
Toholampi,Tohmajärvi,0,0,0
Toivakka,Tohmajärvi,0,0,0
Tornio,Tohmajärvi,2,1,1
Turku,Tohmajärvi,0,0,0
Tuusniemi,Tohmajärvi,0,0,0
Tuusula,Tohmajärvi,1,1,0
Tyrnävä,Tohmajärvi,0,0,0
Ulvila,Tohmajärvi,0,0,0
Urjala,Tohmajärvi,0,0,0
Utajärvi,Tohmajärvi,0,0,0
Utsjoki,Tohmajärvi,0,0,0
Uurainen,Tohmajärvi,0,0,0
Uusikaarlepyy,Tohmajärvi,0,0,0
Uusikaupunki,Tohmajärvi,0,0,0
Vaala,Tohmajärvi,0,0,0
Vaasa,Tohmajärvi,1,1,0
Valkeakoski,Tohmajärvi,1,0,1
Vantaa,Tohmajärvi,0,0,0
Varkaus,Tohmajärvi,1,0,1
Vehmaa,Tohmajärvi,0,0,0
Vesanto,Tohmajärvi,0,0,0
Vesilahti,Tohmajärvi,0,0,0
Veteli,Tohmajärvi,0,0,0
Vieremä,Tohmajärvi,0,0,0
Vihti,Tohmajärvi,0,0,0
Viitasaari,Tohmajärvi,0,0,0
Vimpeli,Tohmajärvi,0,0,0
Virolahti,Tohmajärvi,0,0,0
Virrat,Tohmajärvi,0,0,0
Vårdö,Tohmajärvi,0,0,0
Vöyri,Tohmajärvi,0,0,0
Ylitornio,Tohmajärvi,0,0,0
Ylivieska,Tohmajärvi,0,0,0
Ylöjärvi,Tohmajärvi,0,0,0
Ypäjä,Tohmajärvi,0,0,0
Ähtäri,Tohmajärvi,0,0,0
Äänekoski,Tohmajärvi,0,0,0
