kunta,koordinaatit_lahto,koordinaatit_tulo
Loppi,"60.717556416,24.44356627","62.226235418,30.333057263"
Loviisa,"60.457732981,26.223660363","62.226235418,30.333057263"
Luhanka,"61.796805591,25.703825319","62.226235418,30.333057263"
Lumijoki,"64.837617135,25.187125981","62.226235418,30.333057263"
Lumparland,"60.1174024,20.258892131","62.226235418,30.333057263"
Luoto,"63.755494342,22.746684981","62.226235418,30.333057263"
Luumäki,"60.92092464,27.559740129","62.226235418,30.333057263"
Maalahti,"62.942910055,21.552851475","62.226235418,30.333057263"
Maarianhamina,"60.101520836,19.942267834","62.226235418,30.333057263"
Marttila,"60.585411972,22.898967272","62.226235418,30.333057263"
Masku,"60.570991977,22.098688118","62.226235418,30.333057263"
Merijärvi,"64.29771802,24.441848134","62.226235418,30.333057263"
Merikarvia,"61.86033969,21.505430059","62.226235418,30.333057263"
Miehikkälä,"60.669224483,27.696366399","62.226235418,30.333057263"
Mikkeli,"61.687726895,27.273224374","62.226235418,30.333057263"
Muhos,"64.808918576,25.990050022","62.226235418,30.333057263"
Multia,"62.408697501,24.794621331","62.226235418,30.333057263"
Muonio,"67.959275326,23.677223262","62.226235418,30.333057263"
Mustasaari,"63.114054101,21.680745161","62.226235418,30.333057263"
Muurame,"62.13050888,25.67356508","62.226235418,30.333057263"
Mynämäki,"60.678732788,21.987506589","62.226235418,30.333057263"
Myrskylä,"60.670439657,25.852102173","62.226235418,30.333057263"
Mäntsälä,"60.63608498,25.320204692","62.226235418,30.333057263"
Mänttä-Vilppula,"62.036948707,24.553095512","62.226235418,30.333057263"
Mäntyharju,"61.41828094,26.875355649","62.226235418,30.333057263"
Naantali,"60.467709253,22.018224718","62.226235418,30.333057263"
Nakkila,"61.366902193,22.004075891","62.226235418,30.333057263"
Nivala,"63.929637787,24.953943761","62.226235418,30.333057263"
Nokia,"61.478773769,23.508499404","62.226235418,30.333057263"
Nousiainen,"60.599114832,22.082180366","62.226235418,30.333057263"
Nurmes,"63.544266312,29.132995571","62.226235418,30.333057263"
Nurmijärvi,"60.460806119,24.807369231","62.226235418,30.333057263"
Närpiö,"62.473293481,21.336718308","62.226235418,30.333057263"
Orimattila,"60.80402214,25.734288563","62.226235418,30.333057263"
Oripää,"60.856350309,22.697411262","62.226235418,30.333057263"
Orivesi,"61.677407146,24.357389414","62.226235418,30.333057263"
Oulainen,"64.266570168,24.816231983","62.226235418,30.333057263"
Oulu,"65.013784817,25.47209907","62.226235418,30.333057263"
Outokumpu,"62.726024464,29.015423401","62.226235418,30.333057263"
Padasjoki,"61.351408456,25.277610756","62.226235418,30.333057263"
Paimio,"60.455410664,22.691146855","62.226235418,30.333057263"
Paltamo,"64.409447258,27.832162935","62.226235418,30.333057263"
Parainen,"60.299124907,22.3023017","62.226235418,30.333057263"
Parikkala,"61.55512963,29.501065813","62.226235418,30.333057263"
Parkano,"62.010623403,23.021041049","62.226235418,30.333057263"
Pedersören kunta,"63.601233473,22.791289301","62.226235418,30.333057263"
Pelkosenniemi,"67.109192048,27.512878531","62.226235418,30.333057263"
Pello,"66.775583504,23.96347775","62.226235418,30.333057263"
Perho,"63.215274507,24.423163042","62.226235418,30.333057263"
Pertunmaa,"61.503094056,26.477987839","62.226235418,30.333057263"
Petäjävesi,"62.256663764,25.183606514","62.226235418,30.333057263"
Pieksämäki,"62.298590826,27.155481907","62.226235418,30.333057263"
Pielavesi,"63.232348566,26.755606074","62.226235418,30.333057263"
Pietarsaari,"63.675221726,22.702931738","62.226235418,30.333057263"
Pihtipudas,"63.370334395,25.574614233","62.226235418,30.333057263"
Pirkkala,"61.465248956,23.645483231","62.226235418,30.333057263"
Polvijärvi,"62.856826994,29.369602563","62.226235418,30.333057263"
Pomarkku,"61.694846754,22.010453708","62.226235418,30.333057263"
Pori,"61.483726303,21.795900114","62.226235418,30.333057263"
Pornainen,"60.47689845,25.372932372","62.226235418,30.333057263"
Porvoo,"60.395371935,25.666559544","62.226235418,30.333057263"
Posio,"66.109736985,28.173906419","62.226235418,30.333057263"
Pudasjärvi,"65.36094712,26.999243541","62.226235418,30.333057263"
Pukkila,"60.645352853,25.580407556","62.226235418,30.333057263"
Punkalaidun,"61.113272934,23.100542189","62.226235418,30.333057263"
Puolanka,"64.868658767,27.669071121","62.226235418,30.333057263"
Puumala,"61.521855331,28.179971761","62.226235418,30.333057263"
Pyhtää,"60.492210487,26.544880023","62.226235418,30.333057263"
Pyhäjoki,"64.465163558,24.259197182","62.226235418,30.333057263"
Pyhäjärvi,"63.681835448,25.985775658","62.226235418,30.333057263"
Pyhäntä,"64.099460341,26.329977857","62.226235418,30.333057263"
Pyhäranta,"60.948266485,21.440934529","62.226235418,30.333057263"
Pälkäne,"61.336821181,24.270409233","62.226235418,30.333057263"
Pöytyä,"60.721369364,22.599537679","62.226235418,30.333057263"
Raahe,"64.687734335,24.478273101","62.226235418,30.333057263"
Raasepori,"59.974552922,23.43622808","62.226235418,30.333057263"
Raisio,"60.486079651,22.171068833","62.226235418,30.333057263"
Rantasalmi,"62.063413397,28.304229966","62.226235418,30.333057263"
Ranua,"65.927505623,26.518416699","62.226235418,30.333057263"
Rauma,"61.128737875,21.511126919","62.226235418,30.333057263"
Rautalampi,"62.621137137,26.835420999","62.226235418,30.333057263"
Rautavaara,"63.494210301,28.298223078","62.226235418,30.333057263"
Rautjärvi,"61.433471798,29.36791525","62.226235418,30.333057263"
Reisjärvi,"63.604386795,24.937851054","62.226235418,30.333057263"
Riihimäki,"60.736737225,24.775321449","62.226235418,30.333057263"
Ristijärvi,"64.505096191,28.211768863","62.226235418,30.333057263"
Rovaniemi,"66.502790259,25.728478856","62.226235418,30.333057263"
Ruokolahti,"61.292264125,28.815799538","62.226235418,30.333057263"
Ruovesi,"61.984488222,24.068811837","62.226235418,30.333057263"
Rusko,"60.542439512,22.222515059","62.226235418,30.333057263"
Rääkkylä,"62.312677024,29.626058461","62.226235418,30.333057263"
Saarijärvi,"62.705523683,25.253902","62.226235418,30.333057263"
Salla,"66.830971278,28.669933096","62.226235418,30.333057263"
Salo,"60.384373601,23.126727127","62.226235418,30.333057263"
Saltvik,"60.275214843,20.059115249","62.226235418,30.333057263"
Sastamala,"61.340225146,22.906437534","62.226235418,30.333057263"
Sauvo,"60.344506715,22.691750338","62.226235418,30.333057263"
Savitaipale,"61.198742149,27.686019135","62.226235418,30.333057263"
Savonlinna,"61.869802657,28.87849829","62.226235418,30.333057263"
Savukoski,"67.292004821,28.164370823","62.226235418,30.333057263"
Seinäjoki,"62.786662897,22.842279603","62.226235418,30.333057263"
Sievi,"63.906281167,24.521156852","62.226235418,30.333057263"
Siikainen,"61.877660372,21.823140984","62.226235418,30.333057263"
Siikajoki,"64.663838767,25.103293299","62.226235418,30.333057263"
Siikalatva,"64.27203017,25.863775714","62.226235418,30.333057263"
Siilinjärvi,"63.073664705,27.659698525","62.226235418,30.333057263"
Simo,"65.661270047,25.062297166","62.226235418,30.333057263"
Sipoo,"60.376856973,25.268516114","62.226235418,30.333057263"
Siuntio,"60.138017546,24.224863347","62.226235418,30.333057263"
Sodankylä,"67.414920225,26.590673697","62.226235418,30.333057263"
Soini,"62.87297229,24.210173232","62.226235418,30.333057263"
Somero,"60.628290724,23.517691265","62.226235418,30.333057263"
Sonkajärvi,"63.669163025,27.523742906","62.226235418,30.333057263"
Sotkamo,"64.13202497,28.387689851","62.226235418,30.333057263"
Sottunga,"60.1299875,20.667418704","62.226235418,30.333057263"
Sulkava,"61.789726328,28.378042315","62.226235418,30.333057263"
Sund,"60.250200171,20.116293532","62.226235418,30.333057263"
Suomussalmi,"64.883821118,28.904794739","62.226235418,30.333057263"
Suonenjoki,"62.623037446,27.127576934","62.226235418,30.333057263"
Sysmä,"61.503771936,25.68370291","62.226235418,30.333057263"
Säkylä,"61.048361211,22.336785897","62.226235418,30.333057263"
Taipalsaari,"61.161330352,28.057579346","62.226235418,30.333057263"
Taivalkoski,"65.576252124,28.240598067","62.226235418,30.333057263"
Taivassalo,"60.561807633,21.611197663","62.226235418,30.333057263"
Tammela,"60.808134311,23.760277513","62.226235418,30.333057263"
Tampere,"61.49774257,23.761290078","62.226235418,30.333057263"
Tervo,"62.95214524,26.753932331","62.226235418,30.333057263"
Tervola,"66.087024017,24.81106439","62.226235418,30.333057263"
Teuva,"62.484761491,21.747190967","62.226235418,30.333057263"
Tohmajärvi,"62.226235418,30.333057263","62.226235418,30.333057263"
Toholampi,"63.771687856,24.250504148","62.226235418,30.333057263"
Toivakka,"62.097929789,26.082544741","62.226235418,30.333057263"
Tornio,"65.84973018,24.144091609","62.226235418,30.333057263"
Turku,"60.451690351,22.266866666","62.226235418,30.333057263"
Tuusniemi,"62.812406598,28.488250625","62.226235418,30.333057263"
Tuusula,"60.402369377,25.025142036","62.226235418,30.333057263"
Tyrnävä,"64.763363971,25.652633446","62.226235418,30.333057263"
Ulvila,"61.432652934,21.888033305","62.226235418,30.333057263"
Urjala,"61.081131717,23.549311266","62.226235418,30.333057263"
Utajärvi,"64.76169558,26.416907969","62.226235418,30.333057263"
Utsjoki,"69.907828523,27.026541275","62.226235418,30.333057263"
Uurainen,"62.50080639,25.438518873","62.226235418,30.333057263"
Uusikaarlepyy,"63.523125804,22.530086009","62.226235418,30.333057263"
Uusikaupunki,"60.801207736,21.407727115","62.226235418,30.333057263"
Vaala,"64.560942154,26.840673725","62.226235418,30.333057263"
Vaasa,"63.092588875,21.615874122","62.226235418,30.333057263"
Valkeakoski,"61.270053249,24.029248502","62.226235418,30.333057263"
Valtimo,"63.680306323,28.813705084","62.226235418,30.333057263"
Vantaa,"60.298133721,25.006641332","62.226235418,30.333057263"
Varkaus,"62.313950665,27.888587335","62.226235418,30.333057263"
Vehmaa,"60.685902746,21.712512133","62.226235418,30.333057263"
Vesanto,"62.93103044,26.412849105","62.226235418,30.333057263"
Vesilahti,"61.305583862,23.627636445","62.226235418,30.333057263"
Veteli,"63.475287314,23.78862512","62.226235418,30.333057263"
Vieremä,"63.744069514,27.005160452","62.226235418,30.333057263"
Vihti,"60.416791924,24.319858395","62.226235418,30.333057263"
Viitasaari,"63.082792009,25.855167908","62.226235418,30.333057263"
Vimpeli,"63.161927977,23.820600738","62.226235418,30.333057263"
Virolahti,"60.582071101,27.708871595","62.226235418,30.333057263"
Virrat,"62.23848456,23.773747693","62.226235418,30.333057263"
Vårdö,"60.244351018,20.375338092","62.226235418,30.333057263"
Vöyri,"63.132068002,22.252456379","62.226235418,30.333057263"
Ylitornio,"66.323044983,23.673012317","62.226235418,30.333057263"
Ylivieska,"64.072284496,24.533690188","62.226235418,30.333057263"
Ylöjärvi,"61.55715602,23.596580124","62.226235418,30.333057263"
Ypäjä,"60.805227741,23.272438379","62.226235418,30.333057263"
Ähtäri,"62.55285929,24.075018434","62.226235418,30.333057263"
Äänekoski,"62.603307432,25.72483135","62.226235418,30.333057263"
