kunta,koordinaatit_lahto,koordinaatit_tulo
Akaa,"61.167145977,23.865888764","62.226235418,30.333057263"
Alajärvi,"63.001273254,23.817522812","62.226235418,30.333057263"
Alavieska,"64.166646246,24.307213479","62.226235418,30.333057263"
Alavus,"62.586161997,23.616600589","62.226235418,30.333057263"
Asikkala,"61.172512361,25.549142484","62.226235418,30.333057263"
Askola,"60.530210718,25.598880612","62.226235418,30.333057263"
Aura,"60.646591846,22.588991955","62.226235418,30.333057263"
Brändö,"60.412662338,21.04371379","62.226235418,30.333057263"
Eckerö,"60.213612052,19.613138657","62.226235418,30.333057263"
Enonkoski,"62.089260323,28.916904602","62.226235418,30.333057263"
Enontekiö,"68.385549758,23.635307625","62.226235418,30.333057263"
Espoo,"60.206376371,24.656728549","62.226235418,30.333057263"
Eura,"61.130003763,22.135931764","62.226235418,30.333057263"
Eurajoki,"61.203547237,21.73409618","62.226235418,30.333057263"
Evijärvi,"63.36690195,23.47395314","62.226235418,30.333057263"
Finström,"60.232262787,19.992383189","62.226235418,30.333057263"
Forssa,"60.814791352,23.6164073","62.226235418,30.333057263"
Föglö,"60.011288651,20.425481273","62.226235418,30.333057263"
Geta,"60.374272036,19.845773869","62.226235418,30.333057263"
Haapajärvi,"63.748514012,25.319573489","62.226235418,30.333057263"
Haapavesi,"64.136145958,25.364407256","62.226235418,30.333057263"
Hailuoto,"65.008596339,24.71112636","62.226235418,30.333057263"
Halsua,"63.460145023,24.171590087","62.226235418,30.333057263"
Hamina,"60.569688146,27.197900579","62.226235418,30.333057263"
Hammarland,"60.218344619,19.73979193","62.226235418,30.333057263"
Hankasalmi,"62.390301152,26.436191366","62.226235418,30.333057263"
Hanko,"59.82496853,22.966840833","62.226235418,30.333057263"
Harjavalta,"61.313701934,22.141199348","62.226235418,30.333057263"
Hartola,"61.583533225,26.019445705","62.226235418,30.333057263"
Hattula,"61.055937939,24.373688807","62.226235418,30.333057263"
Hausjärvi,"60.788352094,25.024743189","62.226235418,30.333057263"
Heinola,"61.2052356,26.034841245","62.226235418,30.333057263"
Heinävesi,"62.425985285,28.629432602","62.226235418,30.333057263"
Helsinki,"60.166640739,24.943536799","62.226235418,30.333057263"
Hirvensalmi,"61.643279652,26.77736901","62.226235418,30.333057263"
Hollola,"60.988606497,25.512813466","62.226235418,30.333057263"
Honkajoki,"61.993243973,22.263525327","62.226235418,30.333057263"
Huittinen,"61.177545666,22.699443932","62.226235418,30.333057263"
Humppila,"60.922008168,23.367072017","62.226235418,30.333057263"
Hyrynsalmi,"64.677259967,28.490705072","62.226235418,30.333057263"
Hyvinkää,"60.631016885,24.861124319","62.226235418,30.333057263"
Hämeenkyrö,"61.640922455,23.195714863","62.226235418,30.333057263"
Hämeenlinna,"60.996174323,24.464424988","62.226235418,30.333057263"
Ii,"65.322611335,25.374983789","62.226235418,30.333057263"
Iisalmi,"63.559688616,27.186983669","62.226235418,30.333057263"
Iitti,"60.890805141,26.33869215","62.226235418,30.333057263"
Ikaalinen,"61.768251116,23.074590925","62.226235418,30.333057263"
Ilmajoki,"62.733541324,22.577475532","62.226235418,30.333057263"
Ilomantsi,"62.672850851,30.92679732","62.226235418,30.333057263"
Imatra,"61.171527381,28.769224555","62.226235418,30.333057263"
Inari,"68.905469786,27.017602211","62.226235418,30.333057263"
Inkoo,"60.044664081,24.006574663","62.226235418,30.333057263"
Isojoki,"62.115137142,21.958478468","62.226235418,30.333057263"
Isokyrö,"63.000103009,22.318211434","62.226235418,30.333057263"
Janakkala,"60.921846055,24.647706584","62.226235418,30.333057263"
Joensuu,"62.602079226,29.759679275","62.226235418,30.333057263"
Jokioinen,"60.805162808,23.490085206","62.226235418,30.333057263"
Jomala,"60.15043419,19.95256632","62.226235418,30.333057263"
Joroinen,"62.179506084,27.826421809","62.226235418,30.333057263"
Joutsa,"61.74027126,26.110981259","62.226235418,30.333057263"
Juuka,"63.239859772,29.254325823","62.226235418,30.333057263"
Juupajoki,"61.797913262,24.369974148","62.226235418,30.333057263"
Juva,"61.897472595,27.857335654","62.226235418,30.333057263"
Jyväskylä,"62.241677684,25.749498121","62.226235418,30.333057263"
Jämijärvi,"61.820221688,22.691024601","62.226235418,30.333057263"
Jämsä,"61.864256654,25.190231473","62.226235418,30.333057263"
Järvenpää,"60.481098394,25.10074741","62.226235418,30.333057263"
Kaarina,"60.407620851,22.371004907","62.226235418,30.333057263"
Kaavi,"62.974976715,28.480838102","62.226235418,30.333057263"
Kajaani,"64.226733925,27.728046683","62.226235418,30.333057263"
Kalajoki,"64.260430362,23.949156078","62.226235418,30.333057263"
Kangasala,"61.463200572,24.067165047","62.226235418,30.333057263"
Kangasniemi,"61.988644474,26.642473064","62.226235418,30.333057263"
Kankaanpää,"61.803357693,22.39516256","62.226235418,30.333057263"
Kannonkoski,"62.976573477,25.263430615","62.226235418,30.333057263"
Kannus,"63.901745411,23.915054223","62.226235418,30.333057263"
Karijoki,"62.308417557,21.704898532","62.226235418,30.333057263"
Karkkila,"60.534934578,24.20821133","62.226235418,30.333057263"
Karstula,"62.876603857,24.800504818","62.226235418,30.333057263"
Karvia,"62.138536127,22.562560142","62.226235418,30.333057263"
Kaskinen,"62.382871885,21.225392339","62.226235418,30.333057263"
Kauhajoki,"62.425088156,22.177243878","62.226235418,30.333057263"
Kauhava,"63.100920012,23.065244367","62.226235418,30.333057263"
Kauniainen,"60.210640465,24.7277527","62.226235418,30.333057263"
Kaustinen,"63.548090648,23.69987851","62.226235418,30.333057263"
Keitele,"63.179589177,26.349949125","62.226235418,30.333057263"
Kemi,"65.733635445,24.56341556","62.226235418,30.333057263"
Kemijärvi,"66.715018519,27.430577528","62.226235418,30.333057263"
Keminmaa,"65.798981364,24.54262919","62.226235418,30.333057263"
Kemiönsaari,"60.163845255,22.728934263","62.226235418,30.333057263"
Kempele,"64.912672171,25.50995188","62.226235418,30.333057263"
Kerava,"60.404868786,25.103548718","62.226235418,30.333057263"
Keuruu,"62.260208877,24.706448341","62.226235418,30.333057263"
Kihniö,"62.203176316,23.177811003","62.226235418,30.333057263"
Kinnula,"63.367271175,24.9699576","62.226235418,30.333057263"
Kirkkonummi,"60.12065796,24.438913078","62.226235418,30.333057263"
Kitee,"62.096690509,30.145386285","62.226235418,30.333057263"
Kittilä,"67.653127857,24.911437456","62.226235418,30.333057263"
Kiuruvesi,"63.651462106,26.622489907","62.226235418,30.333057263"
Kivijärvi,"63.12292486,25.070968069","62.226235418,30.333057263"
Kokemäki,"61.256136349,22.350459185","62.226235418,30.333057263"
Kokkola,"63.837583062,23.131961664","62.226235418,30.333057263"
Kolari,"67.331718287,23.788974026","62.226235418,30.333057263"
Konnevesi,"62.627334113,26.289457254","62.226235418,30.333057263"
Kontiolahti,"62.766465365,29.844407795","62.226235418,30.333057263"
Korsnäs,"62.785052299,21.188728029","62.226235418,30.333057263"
Koski Tl,"60.652981939,23.137367393","62.226235418,30.333057263"
Kotka,"60.465520795,26.941152634","62.226235418,30.333057263"
Kouvola,"60.866825214,26.705598153","62.226235418,30.333057263"
Kristiinankaupunki,"62.274742151,21.37854708","62.226235418,30.333057263"
Kruunupyy,"63.727817733,23.033771859","62.226235418,30.333057263"
Kuhmo,"64.125288629,29.524367548","62.226235418,30.333057263"
Kuhmoinen,"61.562425983,25.175665612","62.226235418,30.333057263"
Kumlinge,"60.259692477,20.778313171","62.226235418,30.333057263"
Kuopio,"62.892982923,27.688934744","62.226235418,30.333057263"
Kuortane,"62.807410615,23.506393077","62.226235418,30.333057263"
Kurikka,"62.618893949,22.39877371","62.226235418,30.333057263"
Kustavi,"60.546714695,21.358881644","62.226235418,30.333057263"
Kuusamo,"65.964424921,29.18861606","62.226235418,30.333057263"
Kyyjärvi,"63.043410994,24.566437311","62.226235418,30.333057263"
Kärkölä,"60.86837648,25.273377105","62.226235418,30.333057263"
Kärsämäki,"63.980587073,25.759667454","62.226235418,30.333057263"
Kökar,"59.920278312,20.908372757","62.226235418,30.333057263"
Lahti,"60.980380564,25.654987962","62.226235418,30.333057263"
Laihia,"62.977956713,22.011173105","62.226235418,30.333057263"
Laitila,"60.875860346,21.690233379","62.226235418,30.333057263"
Lapinjärvi,"60.624363429,26.201405459","62.226235418,30.333057263"
Lapinlahti,"63.364517752,27.387415475","62.226235418,30.333057263"
Lappajärvi,"63.217602823,23.632849978","62.226235418,30.333057263"
Lappeenranta,"61.058749724,28.187689913","62.226235418,30.333057263"
Lapua,"62.970168655,23.007570333","62.226235418,30.333057263"
Laukaa,"62.413528005,25.957777304","62.226235418,30.333057263"
Lemi,"61.061522998,27.804960542","62.226235418,30.333057263"
Lemland,"60.068453521,20.099599382","62.226235418,30.333057263"
Lempäälä,"61.312525626,23.755748116","62.226235418,30.333057263"
Leppävirta,"62.491829038,27.788663006","62.226235418,30.333057263"
Lestijärvi,"63.524801746,24.66580332","62.226235418,30.333057263"
Lieksa,"63.317804542,30.028096821","62.226235418,30.333057263"
Lieto,"60.506876265,22.455932813","62.226235418,30.333057263"
Liminka,"64.809794749,25.411946267","62.226235418,30.333057263"
Liperi,"62.534480932,29.367861963","62.226235418,30.333057263"
Lohja,"60.250916253,24.065782053","62.226235418,30.333057263"
Loimaa,"60.851362252,23.058593858","62.226235418,30.333057263"
